cs,var,para,model,var_group
cs 1,tv,0.046482272,gqv,TV
cs 1,print,0.50106206,gqv,PRINT
cs 2,tv,0.197674908,gqv,TV
cs 2,print,0.447566499,gqv,PRINT
cs 1,ps_imps,1.025727299,search,PS_IMPS
cs 1,tv,0.708880922,search,TV
cs 1,gqv,0.880790088,search,GQV
cs 2,ps_imps,0.750141117,search,PS_IMPS
cs 2,tv,0.990873079,search,TV
cs 2,gqv,0.656246873,search,GQV
cs 1,disp_imps,0.254646887,display,DISP_IMPS
cs 1,tv,0.438488677,display,TV
cs 2,disp_imps,0.45664646,display,DISP_IMPS
cs 2,tv,0.158487898,display,TV
cs 1,tv,0.02546,dts,TV
cs 2,tv,0.1366,dts,TV
cs 1,tv,0.546456422,sales,TV
cs 1,display,0.186846446,sales,DISPLAY
cs 1,search,0.24869779,sales,SEARCH
cs 1,dts,0.34546479,sales,DTS
cs 1,print,0.938339266,sales,PRINT
cs 2,tv,0.637857162,sales,TV
cs 2,display,0.15687896,sales,DISPLAY
cs 2,search,0.3486786,sales,SEARCH
cs 2,dts,0.76632589,sales,DTS
cs 2,print,0.898203543,sales,PRINT
